date, pm25, pm10, o3, no2, so2, co
2022/1/17, 132, 58, 20, 15, 11, 14
2022/1/18, 131, 61, 21, 14, 10, 12
2022/1/19, 139, 57, 21, 13, 9, 11
2022/1/20, 120, 58, 21, 14, 6, 11
2022/1/21, 120, 58, 27, 14, 6, 15
2022/1/22, 143, 57, 27, 12, 5, 22
2022/1/23, 142, 58, 20, 12, 8, 10
2022/1/24, 121, 58, 22, 14, 9, 10
2022/1/25, 130, 60, 22, 11, 9, 11
2022/1/26, 89, 62, 24, 14, 10, 11
2022/1/27, 101, 59, 23, 14, 10, 12
2022/1/28, 105, 53, 13, 13, 12, 12
2022/1/29, 109, 49, 10, 14, 12, 13
2022/1/30, 128, 52, 13, 13, 11, 10
2022/1/31, 141, 64, 12, 15, 10, 11
2022/2/1, 141, 62, 18, 14, 11, 11
2022/2/2, 134, 61, 19, 15, 10, 12
2022/2/3, 116, 52, 22, 13, 8, 12
2022/2/4, 113, 52, 22, 14, 9, 10
2022/2/5, 110, 57, 15, 9, 9, 9
2022/2/6, 135, 61, 21, 12, 10, 11
2022/2/7, 142, 65, 22, 12, 10, 14
2022/2/8, 157, 59, 22, 11, 10, 12
2022/2/9, 145, 64, 20, 14, 9, 10
2022/2/10, 150, 68, 20, 12, 11, 12
2022/2/11, 124, 60, 17, 15, 10, 11
2022/2/12, 128, 65, 17, 18, 9, 12
2022/2/13, 167, 60, 19, 15, 11, 11
2022/2/14, 118, 58, 15, 13, 11, 11
2022/2/15, 134, , , , , 
2022/2/18, 113, 59, 21, 18, 11, 10
2022/2/19, 125, 60, 21, 20, 11, 8
2022/2/20, 126, , , , , 
2022/2/23, 126, 57, 22, 18, 7, 7
2022/2/24, 115, 55, 23, 12, 9, 8
2022/2/25, 115, 57, 28, 13, 10, 12
2022/2/26, 96, 67, 28, 19, 9, 14
2022/2/27, 101, 52, 22, 17, 10, 11
2022/2/28, 104, 59, 20, 20, 10, 10
2022/3/1, 103, 68, 21, 22, 11, 10
2022/3/2, 117, 60, 23, 18, 11, 13
2022/3/3, 94, 49, 25, 13, 10, 17
2022/3/4, 107, 51, 26, 13, 10, 14
2022/3/5, 112, 48, 26, 13, 10, 12
2022/3/6, 122, 64, 24, 16, 11, 12
2022/3/7, 132, 65, 25, 14, 11, 12
2022/3/8, 127, 58, 25, 13, 11, 11
2022/3/9, 126, 66, 24, 17, 12, 10
2022/3/10, 125, 83, 23, 18, 13, 12
2022/3/11, 153, 66, 23, 14, 14, 16
2022/3/12, 104, 67, 22, 13, 13, 26
2022/3/13, 157, 66, 22, 15, 8, 18
2022/3/14, 125, 65, 25, 17, 11, 11
2022/3/15, 114, 62, 24, 15, 10, 12
2022/3/16, 125, 60, 32, 17, 8, 12
2022/3/17, 106, 65, 23, 14, 12, 11
2022/3/18, 125, 63, 24, 14, 12, 12
2022/3/19, 89, 60, 24, 14, 13, 16
2022/3/20, 122, 66, 25, 15, 12, 12
2022/3/21, 134, 79, 25, 16, 13, 10
2022/3/22, 139, 83, 26, 16, 14, 13
2022/3/23, 151, 81, 26, 19, 12, 12
2022/3/24, 148, 78, 18, 20, 11, 8
2022/3/25, 135, 81, 22, 17, 11, 9
2022/3/26, 143, 88, 22, 13, 12, 9
2022/3/27, 147, 73, 26, 16, 10, 9
2022/3/28, 129, 61, 21, 19, 10, 9
2022/3/29, 123, , , , , 
2021/10/2, 130, 76, 28, 11, 6, 2
2021/10/3, 113, 31, 28, 11, 4, 4
2021/10/4, 67, 46, 18, 9, 4, 2
2021/10/5, 74, 24, 16, 7, 6, 3
2021/10/6, 28, , 13, 5, 10, 5
2021/10/7, 47, , , 5, , 
2021/10/20, 113, , , 9, , 
2021/10/29, 98, 69, 17, 9, 10, 10
2021/10/30, 136, , 15, 11, 8, 8
2021/10/31, 146, 63, 18, 10, 9, 9
2021/11/1, 143, 58, 18, 9, 11, 16
2021/11/2, 102, 64, 17, 10, 11, 16
2021/11/3, 109, 50, 26, 9, 10, 10
2021/11/4, 100, 73, 17, 9, 9, 9
2021/11/5, 118, 70, 13, 12, 11, 17
2021/11/6, 154, , , 13, , 
2021/11/8, 136, 51, 19, 17, 8, 9
2021/11/9, 87, 78, 18, 13, 9, 10
2021/11/10, 151, 86, 21, 22, 9, 9
2021/11/11, 160, , , 23, , 
2021/11/17, 52, 68, 14, 20, 7, 6
2021/11/18, 48, , , 20, , 
2021/11/22, 70, 43, 14, 17, 7, 6
2021/11/23, 72, 56, 16, 16, 8, 8
2021/11/24, 86, 61, 12, 16, 8, 10
2021/11/25, 114, 67, 14, 19, 10, 12
2021/11/26, 137, 76, 14, 22, 10, 10
2021/11/27, 143, , , 22, , 
2021/12/4, 61, 37, 18, 8, 4, 1
2021/12/5, 35, 48, 13, 7, 10, 5
2021/12/6, 3, 48, 13, 5, 10, 5
2021/12/7, 8, , , 5, , 
2021/12/10, 161, 68, 14, 20, 7, 6
2021/12/11, 153, , , 20, , 
2021/7/1, 36, 32, 16, 3, 7, 2
2021/7/2, 46, 43, 19, 3, 8, 3
2021/7/3, 48, 50, 19, 5, 7, 4
2021/7/4, 53, 52, 19, 6, 8, 4
2021/7/5, 65, 48, 11, 3, 8, 2
2021/7/7, 55, 22, 15, 3, 7, 2
2021/7/8, 44, 24, 15, 3, 6, 1
2021/7/9, 34, 26, 13, 3, 7, 2
2021/7/10, 47, , , , , 
2021/7/12, 30, 35, 15, 2, 6, 2
2021/7/13, 37, 30, 11, 2, 6, 2
2021/7/14, 31, 32, 13, 3, 7, 1
2021/7/15, 34, 32, 12, 3, 7, 2
2021/7/16, 34, 31, 13, 2, 7, 1
2021/7/17, 33, , , 3, , 
2021/7/22, 33, 18, 13, 2, 6, 
2021/7/23, 29, 24, 16, 2, 7, 1
2021/7/24, 36, 29, 16, 3, 5, 2
2021/7/25, 31, 34, 16, 4, 7, 5
2021/7/26, 39, 41, 16, 3, 8, 5
2021/7/27, 33, 34, 15, 3, 8, 2
2021/7/28, 36, 27, 13, 3, 7, 3
2021/7/29, 32, 27, 17, 2, 7, 5
2021/7/30, 33, 32, 17, 3, 7, 6
2021/7/31, 37, 33, 22, 4, 6, 5
2021/8/1, 38, 35, 13, 3, 10, 8
2021/8/2, 49, 31, 12, 3, 12, 7
2021/8/3, 25, 36, 14, 3, 7, 4
2021/8/4, 51, 43, 17, 6, 8, 4
2021/8/5, 70, 36, 15, 5, 8, 4
2021/8/6, 62, 44, 14, 3, 7, 3
2021/8/7, 64, , , , , 
2021/8/11, 46, , , , , 
2021/8/17, 66, 40, 15, 3, 8, 5
2021/8/18, 53, 46, 20, 3, 8, 6
2021/8/19, 53, 46, 19, 3, 9, 8
2021/8/20, 55, 40, 16, 3, 7, 6
2021/8/21, 49, 39, 10, 3, 10, 4
2021/8/22, 60, 45, 12, 3, 9, 4
2021/8/23, 62, 41, 17, 3, 7, 6
